"","Overall","var","Variables","Resample"
"451",-1.46665826966693,"title_X494",482,"Fold1"
"452",-1.48527303150101,"summary_X1717",482,"Fold1"
"453",-1.51418353955736,"summary_X3074",482,"Fold1"
"454",-1.53493741359998,"title_X189",482,"Fold1"
"455",-1.55177416525437,"summary_X724",482,"Fold1"
"456",-1.5808971714077,"summary_X1810",482,"Fold1"
"457",-1.58396253230428,"summary_X416",482,"Fold1"
"458",-1.58830057008403,"title_X420",482,"Fold1"
"459",-1.64228633756167,"summary_X1338",482,"Fold1"
"460",-1.6436957800265,"summary_X387",482,"Fold1"
"461",-1.69127469947918,"title_X291",482,"Fold1"
"462",-1.81451927253791,"summary_X1195",482,"Fold1"
"463",-1.84692732129816,"summary_X1618",482,"Fold1"
"464",-1.86856351755593,"summary_X768",482,"Fold1"
"465",-1.91838095045755,"summary_X1053",482,"Fold1"
"466",-1.94630379850195,"summary_X368",482,"Fold1"
"467",-1.96928558110555,"summary_X204",482,"Fold1"
"468",-1.97394209149485,"title_X169",482,"Fold1"
"469",-1.99842032274127,"title_X3402",482,"Fold1"
"470",-2.09431334050084,"summary_X1120",482,"Fold1"
"471",-2.10706512189917,"title_X1841",482,"Fold1"
"472",-2.13771589397961,"title_X478",482,"Fold1"
"473",-2.15138181163493,"summary_X1937",482,"Fold1"
"474",-2.15688766438572,"summary_X238",482,"Fold1"
"475",-2.18817281126585,"summary_X140",482,"Fold1"
"476",-2.26958998851081,"summary_X507",482,"Fold1"
"477",-2.50868801527361,"title_X727",482,"Fold1"
"478",-2.58480195901811,"author_X707708",482,"Fold1"
"479",-2.6118453813541,"summary_X1516",482,"Fold1"
"480",-2.76777949797589,"title_X487",482,"Fold1"
"481",-2.9355857695959,"author_X1254912550",482,"Fold1"
"482",-3.14608759980842,"title_X1334",482,"Fold1"
"483",20.8338883477256,"summary_X236",100,"Fold1"
"484",20.4572670559185,"summary_X3038",100,"Fold1"
"485",19.3323781106585,"summary_X1315",100,"Fold1"
"486",18.0457253991815,"summary_X535",100,"Fold1"
"487",15.8298808137432,"summary_X358",100,"Fold1"
"488",14.8979124299815,"summary_X244",100,"Fold1"
"489",13.2754965762318,"summary_X218",100,"Fold1"
"490",12.7688946470189,"summary_X149",100,"Fold1"
"491",12.4984097868616,"summary_X210",100,"Fold1"
"492",11.5830539089901,"summary_X808",100,"Fold1"
"493",11.539383766179,"summary_X1487",100,"Fold1"
"494",11.4522331914359,"summary_X367",100,"Fold1"
